1793_1796

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P197  -  ^   (20.0, 35.0)    IN:  659     2:INPUT —>§204
P356  -  v   (20.0, 48.0)    IN:  672     2:P3V3 —>§360
P227  >  -   (20.0, 23.0)    IN:  647     2:SIGN394 —>§234
P238  -  -   (20.0, 30.0)    IN:  654     2:SIGN411 —>§245
P223  -  -   (20.0, 29.0)    IN:  653     2:SIGN390 —>§230
P324  >  ^^  (20.5, 12.0)    IN:  714     2:SIGN564 —>§331
P222  >> vv  (20.5, 11.0)    IN:  713     2:SIGN389 —>§229
P350  << ^^  (20.0, 72.0)    IN:  696     2:T3 —>§357
P198  >> v   (20.5, 58.0)    IN:  760     2:L_3 —>§205
P326  -  -   (20.5, 61.0)    IN:  763     2:T_3 —>§333
P246  -  ^^  (20.5, 62.0)    IN:  764     2:SIGN423 —>§253
